Vendor, RSS Feed URL, Blog URL, Crawl links
Cisco Talos,https://blog.talosintelligence.com/rss/,https://blog.talosintelligence.com/,False
ESET WeLiveSecurity,https://www.welivesecurity.com/en/rss/feed/,https://www.welivesecurity.com/en/,False
Arctic Wolf,https://arcticwolf.com/feed/,https://arcticwolf.com/,False
Check Point,https://research.checkpoint.com/feed/,https://research.checkpoint.com/,False
CrowdStrike,https://www.crowdstrike.com/en-us/blog/feed,https://www.crowdstrike.com/blog/,False
Fortinet,https://feeds.fortinet.com/fortinet/blog/threat-research&x=1,https://www.fortinet.com/blog/threat-research,False
Google Cloud Threat Intelligence,https://feeds.feedburner.com/threatintelligence/pvexyqv7v0v,https://cloud.google.com/blog/topics/threat-intelligence,False
Huntress Labs,https://www.huntress.com/blog/rss.xml,https://www.huntress.com/blog-categories/threat-analysis,False
Kaspersky,https://www.kaspersky.com/blog/feed/,https://www.kaspersky.com/blog/,False
Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/feed/,https://www.microsoft.com/en-us/security/blog/,False
Sekoia,https://www.sekoia.com/blog/rss.xml,https://www.sekoia.com/blog,False
SentinelOne,https://www.sentinelone.com/labs/feed/,https://www.sentinelone.com/labs/,False
Sophos,https://news.sophos.com/en-us/category/threat-research/feed/,https://news.sophos.com/en-us/category/threat-research,False
LevelBlue(Trustwave SpiderLabs),https://www.levelblue.com/blogs/levelblue-blog/rss.xml,https://www.levelblue.com/blogs/levelblue-blog,False
Unit42(Palo Alto Networks),https://unit42.paloaltonetworks.com/category/threat-research/rss,https://unit42.paloaltonetworks.com/category/threat-research/,False
ProofPoint,https://www.proofpoint.com/us/threat-insight-blog.xml,https://www.proofpoint.com/us/blog/threat-insight,False
BleepingComputer,https://www.bleepingcomputer.com/feed/security/,https://www.bleepingcomputer.com/news/security/,True
The Hacker News,https://feeds.feedburner.com/TheHackersNews,https://thehackernews.com/,True
KOI,,https://www.koi.ai/blog,True
LayerX,https://layerxsecurity.com/feed,https://layerxsecurity.com/blog/,False
Cyble,https://cyble.com/blog/feed/,https://cyble.com/blog,False
Securelist,https://securelist.com/feed,https://securelist.com,False
DarkReading,https://www.darkreading.com/rss.xml,https://www.darkreading.com/,True
gbhackers.,https://gbhackers.com/feed/,https://gbhackers.com/,True
Symantec Threat Intelligence,https://www.security.com/rss/v1/blogs/rss.xml/221,https://www.security.com/threat-intelligence,False
The DFIR Report,https://thedfirreport.com/feed/,https://thedfirreport.com/,False
Volexity,https://www.volexity.com/feed/,https://www.volexity.com/blog/,False
Zscaler ThreatLabz,https://www.zscaler.com/blogs/feeds/security-research,https://www.zscaler.com/blogs/security-research,False
Elastic Security Labs,https://www.elastic.co/security-labs/rss/feed.xml,https://www.elastic.co/security-labs,False
Censys,https://censys.com/feed/,https://censys.com/blog,False
